dataset,model,chunk_size,retriever,em,n,ci_lo,ci_hi,ci_width
nq,SmolLM2-360M,none,no_rag,0.01,300,0.0034,0.029,0.0256
nq,SmolLM2-360M,128,bm25,0.01,300,0.0034,0.029,0.0256
nq,SmolLM2-360M,128,faiss,0.0233,300,0.0113,0.0473,0.036
nq,SmolLM2-360M,256,bm25,0.0067,300,0.0018,0.024,0.0222
nq,SmolLM2-360M,256,faiss,0.0167,300,0.0072,0.0385,0.0313
nq,SmolLM2-360M,512,bm25,0.01,300,0.0034,0.029,0.0256
nq,SmolLM2-360M,512,faiss,0.0033,300,0.0006,0.0186,0.018
nq,Qwen3-0.6B,none,no_rag,0.0267,300,0.0136,0.0518,0.0382
nq,Qwen3-0.6B,128,bm25,0.0567,300,0.0357,0.0889,0.0532
nq,Qwen3-0.6B,128,faiss,0.1167,300,0.0851,0.158,0.0729
nq,Qwen3-0.6B,256,bm25,0.0967,300,0.0682,0.1354,0.0672
nq,Qwen3-0.6B,256,faiss,0.1133,300,0.0822,0.1542,0.0719
nq,Qwen3-0.6B,512,bm25,0.1033,300,0.0737,0.1429,0.0692
nq,Qwen3-0.6B,512,faiss,0.1067,300,0.0766,0.1467,0.0701
nq,Gemma-2-2B,none,no_rag,0.1067,300,0.0766,0.1467,0.0701
nq,Gemma-2-2B,128,bm25,0.06,300,0.0383,0.0928,0.0546
nq,Gemma-2-2B,128,faiss,0.0533,300,0.0331,0.0848,0.0518
nq,Gemma-2-2B,256,bm25,0.0467,300,0.028,0.0768,0.0488
nq,Gemma-2-2B,256,faiss,0.0667,300,0.0436,0.1008,0.0572
nq,Gemma-2-2B,512,bm25,0.0533,300,0.0331,0.0848,0.0518
nq,Gemma-2-2B,512,faiss,0.0567,300,0.0357,0.0889,0.0532
nq,Qwen3-1.7B,none,no_rag,0.05,300,0.0305,0.0808,0.0503
nq,Qwen3-1.7B,128,bm25,0.07,300,0.0462,0.1046,0.0584
nq,Qwen3-1.7B,128,faiss,0.1067,300,0.0766,0.1467,0.0701
nq,Qwen3-1.7B,256,bm25,0.0767,300,0.0517,0.1124,0.0608
nq,Qwen3-1.7B,256,faiss,0.13,300,0.0966,0.1728,0.0762
nq,Qwen3-1.7B,512,bm25,0.1133,300,0.0822,0.1542,0.0719
nq,Qwen3-1.7B,512,faiss,0.1133,300,0.0822,0.1542,0.0719
triviaqa,SmolLM2-360M,none,no_rag,0.0233,300,0.0113,0.0473,0.036
triviaqa,SmolLM2-360M,128,bm25,0.0133,300,0.0052,0.0337,0.0286
triviaqa,SmolLM2-360M,128,faiss,0.0367,300,0.0206,0.0645,0.0439
triviaqa,SmolLM2-360M,256,bm25,0.0267,300,0.0136,0.0518,0.0382
triviaqa,SmolLM2-360M,256,faiss,0.0467,300,0.028,0.0768,0.0488
triviaqa,SmolLM2-360M,512,bm25,0.0433,300,0.0255,0.0727,0.0472
triviaqa,SmolLM2-360M,512,faiss,0.0367,300,0.0206,0.0645,0.0439
triviaqa,Qwen3-0.6B,none,no_rag,0.0833,300,0.0571,0.1201,0.063
triviaqa,Qwen3-0.6B,128,bm25,0.2267,300,0.1829,0.2774,0.0944
triviaqa,Qwen3-0.6B,128,faiss,0.35,300,0.2982,0.4056,0.1073
triviaqa,Qwen3-0.6B,256,bm25,0.2767,300,0.2291,0.3299,0.1008
triviaqa,Qwen3-0.6B,256,faiss,0.36,300,0.3078,0.4158,0.108
triviaqa,Qwen3-0.6B,512,bm25,0.3167,300,0.2667,0.3714,0.1047
triviaqa,Qwen3-0.6B,512,faiss,0.37,300,0.3173,0.426,0.1086
triviaqa,Gemma-2-2B,none,no_rag,0.2067,300,0.1647,0.2561,0.0914
triviaqa,Gemma-2-2B,128,bm25,0.15,300,0.114,0.1948,0.0808
triviaqa,Gemma-2-2B,128,faiss,0.1867,300,0.1467,0.2347,0.088
triviaqa,Gemma-2-2B,256,bm25,0.1933,300,0.1526,0.2417,0.0891
triviaqa,Gemma-2-2B,256,faiss,0.1667,300,0.1288,0.213,0.0842
triviaqa,Gemma-2-2B,512,bm25,0.18,300,0.1407,0.2274,0.0868
triviaqa,Gemma-2-2B,512,faiss,0.2,300,0.1587,0.2489,0.0903
triviaqa,Qwen3-1.7B,none,no_rag,0.1733,300,0.1347,0.2202,0.0855
triviaqa,Qwen3-1.7B,128,bm25,0.3167,300,0.2667,0.3714,0.1047
triviaqa,Qwen3-1.7B,128,faiss,0.4267,300,0.372,0.4832,0.1112
triviaqa,Qwen3-1.7B,256,bm25,0.3633,300,0.3109,0.4191,0.1082
triviaqa,Qwen3-1.7B,256,faiss,0.46,300,0.4045,0.5165,0.1121
triviaqa,Qwen3-1.7B,512,bm25,0.3967,300,0.343,0.453,0.11
triviaqa,Qwen3-1.7B,512,faiss,0.4533,300,0.3979,0.5099,0.112
hotpotqa,SmolLM2-360M,none,no_rag,0.0067,300,0.0018,0.024,0.0222
hotpotqa,SmolLM2-360M,128,bm25,0.0233,300,0.0113,0.0473,0.036
hotpotqa,SmolLM2-360M,128,faiss,0.01,300,0.0034,0.029,0.0256
hotpotqa,SmolLM2-360M,256,bm25,0.0267,300,0.0136,0.0518,0.0382
hotpotqa,SmolLM2-360M,256,faiss,0.02,300,0.0092,0.0429,0.0337
hotpotqa,SmolLM2-360M,512,bm25,0.0233,300,0.0113,0.0473,0.036
hotpotqa,SmolLM2-360M,512,faiss,0.0267,300,0.0136,0.0518,0.0382
hotpotqa,Qwen3-0.6B,none,no_rag,0.0533,300,0.0331,0.0848,0.0518
hotpotqa,Qwen3-0.6B,128,bm25,0.2067,300,0.1647,0.2561,0.0914
hotpotqa,Qwen3-0.6B,128,faiss,0.1833,300,0.1436,0.231,0.0874
hotpotqa,Qwen3-0.6B,256,bm25,0.2267,300,0.1829,0.2774,0.0944
hotpotqa,Qwen3-0.6B,256,faiss,0.2067,300,0.1647,0.2561,0.0914
hotpotqa,Qwen3-0.6B,512,bm25,0.2267,300,0.1829,0.2774,0.0944
hotpotqa,Qwen3-0.6B,512,faiss,0.2067,300,0.1647,0.2561,0.0914
hotpotqa,Gemma-2-2B,none,no_rag,0.0533,300,0.0331,0.0848,0.0518
hotpotqa,Gemma-2-2B,128,bm25,0.1433,300,0.1082,0.1875,0.0793
hotpotqa,Gemma-2-2B,128,faiss,0.1133,300,0.0822,0.1542,0.0719
hotpotqa,Gemma-2-2B,256,bm25,0.1667,300,0.1288,0.213,0.0842
hotpotqa,Gemma-2-2B,256,faiss,0.14,300,0.1053,0.1838,0.0786
hotpotqa,Gemma-2-2B,512,bm25,0.1567,300,0.1199,0.2021,0.0822
hotpotqa,Gemma-2-2B,512,faiss,0.13,300,0.0966,0.1728,0.0762
hotpotqa,Qwen3-1.7B,none,no_rag,0.0433,300,0.0255,0.0727,0.0472
hotpotqa,Qwen3-1.7B,128,bm25,0.26,300,0.2136,0.3124,0.0988
hotpotqa,Qwen3-1.7B,128,faiss,0.2367,300,0.1921,0.2879,0.0958
hotpotqa,Qwen3-1.7B,256,bm25,0.3233,300,0.2729,0.3782,0.1053
hotpotqa,Qwen3-1.7B,256,faiss,0.29,300,0.2416,0.3437,0.1022
hotpotqa,Qwen3-1.7B,512,bm25,0.3633,300,0.3109,0.4191,0.1082
hotpotqa,Qwen3-1.7B,512,faiss,0.28,300,0.2322,0.3333,0.1011
nq,Llama-3.2-1B,none,no_rag,0.04,300,0.023,0.0686,0.0456
nq,Llama-3.2-1B,128,bm25,0.07,300,0.0462,0.1046,0.0584
nq,Llama-3.2-1B,128,faiss,0.1267,300,0.0937,0.1691,0.0754
nq,Llama-3.2-1B,256,bm25,0.0867,300,0.0599,0.124,0.0641
nq,Llama-3.2-1B,256,faiss,0.1233,300,0.0908,0.1653,0.0745
nq,Llama-3.2-1B,512,bm25,0.01,300,0.0034,0.029,0.0256
nq,Llama-3.2-1B,512,faiss,0.0167,300,0.0072,0.0385,0.0313
triviaqa,Llama-3.2-1B,none,no_rag,0.15,300,0.114,0.1948,0.0808
triviaqa,Llama-3.2-1B,128,bm25,0.2933,300,0.2447,0.3472,0.1025
triviaqa,Llama-3.2-1B,128,faiss,0.37,300,0.3173,0.426,0.1086
triviaqa,Llama-3.2-1B,256,bm25,0.32,300,0.2698,0.3748,0.105
triviaqa,Llama-3.2-1B,256,faiss,0.3933,300,0.3397,0.4496,0.1099
triviaqa,Llama-3.2-1B,512,bm25,0.06,300,0.0383,0.0928,0.0546
triviaqa,Llama-3.2-1B,512,faiss,0.0433,300,0.0255,0.0727,0.0472
hotpotqa,Llama-3.2-1B,none,no_rag,0.0167,300,0.0072,0.0385,0.0313
hotpotqa,Llama-3.2-1B,128,bm25,0.1433,300,0.1082,0.1875,0.0793
hotpotqa,Llama-3.2-1B,128,faiss,0.1467,300,0.1111,0.1912,0.0801
hotpotqa,Llama-3.2-1B,256,bm25,0.19,300,0.1496,0.2382,0.0886
hotpotqa,Llama-3.2-1B,256,faiss,0.1867,300,0.1467,0.2347,0.088
hotpotqa,Llama-3.2-1B,512,bm25,0.0367,300,0.0206,0.0645,0.0439
hotpotqa,Llama-3.2-1B,512,faiss,0.0333,300,0.0182,0.0602,0.042
nq,Phi-3.5-mini,none,no_rag,0.0667,300,0.0436,0.1008,0.0572
nq,Phi-3.5-mini,128,bm25,0.11,300,0.0794,0.1505,0.0711
nq,Phi-3.5-mini,128,faiss,0.1033,300,0.0737,0.1429,0.0692
nq,Phi-3.5-mini,256,bm25,0.12,300,0.088,0.1617,0.0737
nq,Phi-3.5-mini,256,faiss,0.1233,300,0.0908,0.1653,0.0745
nq,Phi-3.5-mini,512,bm25,0.1633,300,0.1258,0.2093,0.0836
nq,Phi-3.5-mini,512,faiss,0.16,300,0.1229,0.2057,0.0829
triviaqa,Phi-3.5-mini,none,no_rag,0.31,300,0.2603,0.3645,0.1041
triviaqa,Phi-3.5-mini,128,bm25,0.4367,300,0.3817,0.4933,0.1115
triviaqa,Phi-3.5-mini,128,faiss,0.5,300,0.4438,0.5562,0.1124
triviaqa,Phi-3.5-mini,256,bm25,0.4833,300,0.4273,0.5397,0.1124
triviaqa,Phi-3.5-mini,256,faiss,0.5233,300,0.4668,0.5792,0.1123
triviaqa,Phi-3.5-mini,512,bm25,0.4833,300,0.4273,0.5397,0.1124
triviaqa,Phi-3.5-mini,512,faiss,0.49,300,0.4339,0.5463,0.1124
hotpotqa,Phi-3.5-mini,none,no_rag,0.0733,300,0.0489,0.1085,0.0596
hotpotqa,Phi-3.5-mini,128,bm25,0.2667,300,0.2198,0.3195,0.0996
hotpotqa,Phi-3.5-mini,128,faiss,0.2367,300,0.1921,0.2879,0.0958
hotpotqa,Phi-3.5-mini,256,bm25,0.2933,300,0.2447,0.3472,0.1025
hotpotqa,Phi-3.5-mini,256,faiss,0.2767,300,0.2291,0.3299,0.1008
hotpotqa,Phi-3.5-mini,512,bm25,0.31,300,0.2603,0.3645,0.1041
hotpotqa,Phi-3.5-mini,512,faiss,0.2833,300,0.2353,0.3368,0.1015
