dataset,model,retriever,chunk_size,baseline_em,rag_em,delta_em,baseline_ci,rag_ci,significance
nq,SmolLM2-360M,bm25,128,0.01,0.01,0.0,"[0.003, 0.029]","[0.003, 0.029]",ns
nq,SmolLM2-360M,faiss,128,0.01,0.0233,0.0133,"[0.003, 0.029]","[0.011, 0.047]",ns
nq,SmolLM2-360M,bm25,256,0.01,0.0067,-0.0033,"[0.003, 0.029]","[0.002, 0.024]",ns
nq,SmolLM2-360M,faiss,256,0.01,0.0167,0.0067,"[0.003, 0.029]","[0.007, 0.038]",ns
nq,SmolLM2-360M,bm25,512,0.01,0.01,0.0,"[0.003, 0.029]","[0.003, 0.029]",ns
nq,SmolLM2-360M,faiss,512,0.01,0.0033,-0.0067,"[0.003, 0.029]","[0.001, 0.019]",ns
nq,Qwen3-0.6B,bm25,128,0.0267,0.0567,0.03,"[0.014, 0.052]","[0.036, 0.089]",ns
nq,Qwen3-0.6B,faiss,128,0.0267,0.1167,0.09,"[0.014, 0.052]","[0.085, 0.158]",↑ sig
nq,Qwen3-0.6B,bm25,256,0.0267,0.0967,0.07,"[0.014, 0.052]","[0.068, 0.135]",↑ sig
nq,Qwen3-0.6B,faiss,256,0.0267,0.1133,0.0866,"[0.014, 0.052]","[0.082, 0.154]",↑ sig
nq,Qwen3-0.6B,bm25,512,0.0267,0.1033,0.0766,"[0.014, 0.052]","[0.074, 0.143]",↑ sig
nq,Qwen3-0.6B,faiss,512,0.0267,0.1067,0.08,"[0.014, 0.052]","[0.077, 0.147]",↑ sig
nq,Gemma-2-2B,bm25,128,0.1067,0.06,-0.0467,"[0.077, 0.147]","[0.038, 0.093]",ns
nq,Gemma-2-2B,faiss,128,0.1067,0.0533,-0.0534,"[0.077, 0.147]","[0.033, 0.085]",ns
nq,Gemma-2-2B,bm25,256,0.1067,0.0467,-0.06,"[0.077, 0.147]","[0.028, 0.077]",ns
nq,Gemma-2-2B,faiss,256,0.1067,0.0667,-0.04,"[0.077, 0.147]","[0.044, 0.101]",ns
nq,Gemma-2-2B,bm25,512,0.1067,0.0533,-0.0534,"[0.077, 0.147]","[0.033, 0.085]",ns
nq,Gemma-2-2B,faiss,512,0.1067,0.0567,-0.05,"[0.077, 0.147]","[0.036, 0.089]",ns
nq,Qwen3-1.7B,bm25,128,0.05,0.07,0.02,"[0.030, 0.081]","[0.046, 0.105]",ns
nq,Qwen3-1.7B,faiss,128,0.05,0.1067,0.0567,"[0.030, 0.081]","[0.077, 0.147]",ns
nq,Qwen3-1.7B,bm25,256,0.05,0.0767,0.0267,"[0.030, 0.081]","[0.052, 0.112]",ns
nq,Qwen3-1.7B,faiss,256,0.05,0.13,0.08,"[0.030, 0.081]","[0.097, 0.173]",↑ sig
nq,Qwen3-1.7B,bm25,512,0.05,0.1133,0.0633,"[0.030, 0.081]","[0.082, 0.154]",↑ sig
nq,Qwen3-1.7B,faiss,512,0.05,0.1133,0.0633,"[0.030, 0.081]","[0.082, 0.154]",↑ sig
triviaqa,SmolLM2-360M,bm25,128,0.0233,0.0133,-0.01,"[0.011, 0.047]","[0.005, 0.034]",ns
triviaqa,SmolLM2-360M,faiss,128,0.0233,0.0367,0.0134,"[0.011, 0.047]","[0.021, 0.065]",ns
triviaqa,SmolLM2-360M,bm25,256,0.0233,0.0267,0.0034,"[0.011, 0.047]","[0.014, 0.052]",ns
triviaqa,SmolLM2-360M,faiss,256,0.0233,0.0467,0.0234,"[0.011, 0.047]","[0.028, 0.077]",ns
triviaqa,SmolLM2-360M,bm25,512,0.0233,0.0433,0.02,"[0.011, 0.047]","[0.025, 0.073]",ns
triviaqa,SmolLM2-360M,faiss,512,0.0233,0.0367,0.0134,"[0.011, 0.047]","[0.021, 0.065]",ns
triviaqa,Qwen3-0.6B,bm25,128,0.0833,0.2267,0.1434,"[0.057, 0.120]","[0.183, 0.277]",↑ sig
triviaqa,Qwen3-0.6B,faiss,128,0.0833,0.35,0.2667,"[0.057, 0.120]","[0.298, 0.406]",↑ sig
triviaqa,Qwen3-0.6B,bm25,256,0.0833,0.2767,0.1934,"[0.057, 0.120]","[0.229, 0.330]",↑ sig
triviaqa,Qwen3-0.6B,faiss,256,0.0833,0.36,0.2767,"[0.057, 0.120]","[0.308, 0.416]",↑ sig
triviaqa,Qwen3-0.6B,bm25,512,0.0833,0.3167,0.2334,"[0.057, 0.120]","[0.267, 0.371]",↑ sig
triviaqa,Qwen3-0.6B,faiss,512,0.0833,0.37,0.2867,"[0.057, 0.120]","[0.317, 0.426]",↑ sig
triviaqa,Gemma-2-2B,bm25,128,0.2067,0.15,-0.0567,"[0.165, 0.256]","[0.114, 0.195]",ns
triviaqa,Gemma-2-2B,faiss,128,0.2067,0.1867,-0.02,"[0.165, 0.256]","[0.147, 0.235]",ns
triviaqa,Gemma-2-2B,bm25,256,0.2067,0.1933,-0.0134,"[0.165, 0.256]","[0.153, 0.242]",ns
triviaqa,Gemma-2-2B,faiss,256,0.2067,0.1667,-0.04,"[0.165, 0.256]","[0.129, 0.213]",ns
triviaqa,Gemma-2-2B,bm25,512,0.2067,0.18,-0.0267,"[0.165, 0.256]","[0.141, 0.227]",ns
triviaqa,Gemma-2-2B,faiss,512,0.2067,0.2,-0.0067,"[0.165, 0.256]","[0.159, 0.249]",ns
triviaqa,Qwen3-1.7B,bm25,128,0.1733,0.3167,0.1434,"[0.135, 0.220]","[0.267, 0.371]",↑ sig
triviaqa,Qwen3-1.7B,faiss,128,0.1733,0.4267,0.2534,"[0.135, 0.220]","[0.372, 0.483]",↑ sig
triviaqa,Qwen3-1.7B,bm25,256,0.1733,0.3633,0.19,"[0.135, 0.220]","[0.311, 0.419]",↑ sig
triviaqa,Qwen3-1.7B,faiss,256,0.1733,0.46,0.2867,"[0.135, 0.220]","[0.405, 0.516]",↑ sig
triviaqa,Qwen3-1.7B,bm25,512,0.1733,0.3967,0.2234,"[0.135, 0.220]","[0.343, 0.453]",↑ sig
triviaqa,Qwen3-1.7B,faiss,512,0.1733,0.4533,0.28,"[0.135, 0.220]","[0.398, 0.510]",↑ sig
hotpotqa,SmolLM2-360M,bm25,128,0.0067,0.0233,0.0166,"[0.002, 0.024]","[0.011, 0.047]",ns
hotpotqa,SmolLM2-360M,faiss,128,0.0067,0.01,0.0033,"[0.002, 0.024]","[0.003, 0.029]",ns
hotpotqa,SmolLM2-360M,bm25,256,0.0067,0.0267,0.02,"[0.002, 0.024]","[0.014, 0.052]",ns
hotpotqa,SmolLM2-360M,faiss,256,0.0067,0.02,0.0133,"[0.002, 0.024]","[0.009, 0.043]",ns
hotpotqa,SmolLM2-360M,bm25,512,0.0067,0.0233,0.0166,"[0.002, 0.024]","[0.011, 0.047]",ns
hotpotqa,SmolLM2-360M,faiss,512,0.0067,0.0267,0.02,"[0.002, 0.024]","[0.014, 0.052]",ns
hotpotqa,Qwen3-0.6B,bm25,128,0.0533,0.2067,0.1534,"[0.033, 0.085]","[0.165, 0.256]",↑ sig
hotpotqa,Qwen3-0.6B,faiss,128,0.0533,0.1833,0.13,"[0.033, 0.085]","[0.144, 0.231]",↑ sig
hotpotqa,Qwen3-0.6B,bm25,256,0.0533,0.2267,0.1734,"[0.033, 0.085]","[0.183, 0.277]",↑ sig
hotpotqa,Qwen3-0.6B,faiss,256,0.0533,0.2067,0.1534,"[0.033, 0.085]","[0.165, 0.256]",↑ sig
hotpotqa,Qwen3-0.6B,bm25,512,0.0533,0.2267,0.1734,"[0.033, 0.085]","[0.183, 0.277]",↑ sig
hotpotqa,Qwen3-0.6B,faiss,512,0.0533,0.2067,0.1534,"[0.033, 0.085]","[0.165, 0.256]",↑ sig
hotpotqa,Gemma-2-2B,bm25,128,0.0533,0.1433,0.09,"[0.033, 0.085]","[0.108, 0.188]",↑ sig
hotpotqa,Gemma-2-2B,faiss,128,0.0533,0.1133,0.06,"[0.033, 0.085]","[0.082, 0.154]",ns
hotpotqa,Gemma-2-2B,bm25,256,0.0533,0.1667,0.1134,"[0.033, 0.085]","[0.129, 0.213]",↑ sig
hotpotqa,Gemma-2-2B,faiss,256,0.0533,0.14,0.0867,"[0.033, 0.085]","[0.105, 0.184]",↑ sig
hotpotqa,Gemma-2-2B,bm25,512,0.0533,0.1567,0.1034,"[0.033, 0.085]","[0.120, 0.202]",↑ sig
hotpotqa,Gemma-2-2B,faiss,512,0.0533,0.13,0.0767,"[0.033, 0.085]","[0.097, 0.173]",↑ sig
hotpotqa,Qwen3-1.7B,bm25,128,0.0433,0.26,0.2167,"[0.025, 0.073]","[0.214, 0.312]",↑ sig
hotpotqa,Qwen3-1.7B,faiss,128,0.0433,0.2367,0.1934,"[0.025, 0.073]","[0.192, 0.288]",↑ sig
hotpotqa,Qwen3-1.7B,bm25,256,0.0433,0.3233,0.28,"[0.025, 0.073]","[0.273, 0.378]",↑ sig
hotpotqa,Qwen3-1.7B,faiss,256,0.0433,0.29,0.2467,"[0.025, 0.073]","[0.242, 0.344]",↑ sig
hotpotqa,Qwen3-1.7B,bm25,512,0.0433,0.3633,0.32,"[0.025, 0.073]","[0.311, 0.419]",↑ sig
hotpotqa,Qwen3-1.7B,faiss,512,0.0433,0.28,0.2367,"[0.025, 0.073]","[0.232, 0.333]",↑ sig
nq,Llama-3.2-1B,bm25,128,0.04,0.07,0.03,"[0.023, 0.069]","[0.046, 0.105]",ns
nq,Llama-3.2-1B,faiss,128,0.04,0.1267,0.0867,"[0.023, 0.069]","[0.094, 0.169]",↑ sig
nq,Llama-3.2-1B,bm25,256,0.04,0.0867,0.0467,"[0.023, 0.069]","[0.060, 0.124]",ns
nq,Llama-3.2-1B,faiss,256,0.04,0.1233,0.0833,"[0.023, 0.069]","[0.091, 0.165]",↑ sig
nq,Llama-3.2-1B,bm25,512,0.04,0.01,-0.03,"[0.023, 0.069]","[0.003, 0.029]",ns
nq,Llama-3.2-1B,faiss,512,0.04,0.0167,-0.0233,"[0.023, 0.069]","[0.007, 0.038]",ns
triviaqa,Llama-3.2-1B,bm25,128,0.15,0.2933,0.1433,"[0.114, 0.195]","[0.245, 0.347]",↑ sig
triviaqa,Llama-3.2-1B,faiss,128,0.15,0.37,0.22,"[0.114, 0.195]","[0.317, 0.426]",↑ sig
triviaqa,Llama-3.2-1B,bm25,256,0.15,0.32,0.17,"[0.114, 0.195]","[0.270, 0.375]",↑ sig
triviaqa,Llama-3.2-1B,faiss,256,0.15,0.3933,0.2433,"[0.114, 0.195]","[0.340, 0.450]",↑ sig
triviaqa,Llama-3.2-1B,bm25,512,0.15,0.06,-0.09,"[0.114, 0.195]","[0.038, 0.093]",↓ sig
triviaqa,Llama-3.2-1B,faiss,512,0.15,0.0433,-0.1067,"[0.114, 0.195]","[0.025, 0.073]",↓ sig
hotpotqa,Llama-3.2-1B,bm25,128,0.0167,0.1433,0.1266,"[0.007, 0.038]","[0.108, 0.188]",↑ sig
hotpotqa,Llama-3.2-1B,faiss,128,0.0167,0.1467,0.13,"[0.007, 0.038]","[0.111, 0.191]",↑ sig
hotpotqa,Llama-3.2-1B,bm25,256,0.0167,0.19,0.1733,"[0.007, 0.038]","[0.150, 0.238]",↑ sig
hotpotqa,Llama-3.2-1B,faiss,256,0.0167,0.1867,0.17,"[0.007, 0.038]","[0.147, 0.235]",↑ sig
hotpotqa,Llama-3.2-1B,bm25,512,0.0167,0.0367,0.02,"[0.007, 0.038]","[0.021, 0.065]",ns
hotpotqa,Llama-3.2-1B,faiss,512,0.0167,0.0333,0.0166,"[0.007, 0.038]","[0.018, 0.060]",ns
nq,Phi-3.5-mini,bm25,128,0.0667,0.11,0.0433,"[0.044, 0.101]","[0.079, 0.150]",ns
nq,Phi-3.5-mini,faiss,128,0.0667,0.1033,0.0366,"[0.044, 0.101]","[0.074, 0.143]",ns
nq,Phi-3.5-mini,bm25,256,0.0667,0.12,0.0533,"[0.044, 0.101]","[0.088, 0.162]",ns
nq,Phi-3.5-mini,faiss,256,0.0667,0.1233,0.0566,"[0.044, 0.101]","[0.091, 0.165]",ns
nq,Phi-3.5-mini,bm25,512,0.0667,0.1633,0.0966,"[0.044, 0.101]","[0.126, 0.209]",↑ sig
nq,Phi-3.5-mini,faiss,512,0.0667,0.16,0.0933,"[0.044, 0.101]","[0.123, 0.206]",↑ sig
triviaqa,Phi-3.5-mini,bm25,128,0.31,0.4367,0.1267,"[0.260, 0.364]","[0.382, 0.493]",↑ sig
triviaqa,Phi-3.5-mini,faiss,128,0.31,0.5,0.19,"[0.260, 0.364]","[0.444, 0.556]",↑ sig
triviaqa,Phi-3.5-mini,bm25,256,0.31,0.4833,0.1733,"[0.260, 0.364]","[0.427, 0.540]",↑ sig
triviaqa,Phi-3.5-mini,faiss,256,0.31,0.5233,0.2133,"[0.260, 0.364]","[0.467, 0.579]",↑ sig
triviaqa,Phi-3.5-mini,bm25,512,0.31,0.4833,0.1733,"[0.260, 0.364]","[0.427, 0.540]",↑ sig
triviaqa,Phi-3.5-mini,faiss,512,0.31,0.49,0.18,"[0.260, 0.364]","[0.434, 0.546]",↑ sig
hotpotqa,Phi-3.5-mini,bm25,128,0.0733,0.2667,0.1934,"[0.049, 0.108]","[0.220, 0.320]",↑ sig
hotpotqa,Phi-3.5-mini,faiss,128,0.0733,0.2367,0.1634,"[0.049, 0.108]","[0.192, 0.288]",↑ sig
hotpotqa,Phi-3.5-mini,bm25,256,0.0733,0.2933,0.22,"[0.049, 0.108]","[0.245, 0.347]",↑ sig
hotpotqa,Phi-3.5-mini,faiss,256,0.0733,0.2767,0.2034,"[0.049, 0.108]","[0.229, 0.330]",↑ sig
hotpotqa,Phi-3.5-mini,bm25,512,0.0733,0.31,0.2367,"[0.049, 0.108]","[0.260, 0.364]",↑ sig
hotpotqa,Phi-3.5-mini,faiss,512,0.0733,0.2833,0.21,"[0.049, 0.108]","[0.235, 0.337]",↑ sig
